supplier,robustness_index_weight,theta_min,theta_max,target_price_range,target_late_range,target_error_range,target_lead_range,target_quality_range,target_purchase_range,scenario_count
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
C,0.0002676190097979762,0.0852122669834323,0.12022996013075667,0.8507056292412487,1.7407753354082378,1.2875798120930328,1.0660036237475459,0.15028850714733843,20671.75196694161,4
D,0.0004856067028413974,0.09635600315381541,0.14373124289431546,0.6262969820426736,1.377263553168273,0.5559929081322177,0.47830405036949664,0.08660757010550518,10260.882285327723,4
E,0.0009857312869830349,0.07142957142857141,0.14721714873899266,1.0996529630243286,0.8997247167123592,0.4717967053874319,0.4717967053874319,0.08384464824175836,18944.02849613374,4
F,0.00046908051426930176,0.0774145239983107,0.12617536882373245,1.4095106476415704,1.7343869337414086,1.6443893186949605,1.6996255362684938,0.1872723827004682,29142.90815631261,4
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
J,0.000471053006856339,0.08557477469592181,0.13813775264825856,0.4662832629908329,1.9863715544305807,1.2879208938160067,0.975027333785619,0.1808136450883544,15242.945954731473,4
K,0.0003068965122783963,0.08607804417678341,0.12373160956120843,0.510271820045566,1.2149849424691563,1.1075131612617928,0.7311644355557725,0.11956482163161897,7715.413847106556,4
L,0.0005087760132415414,0.08409710698701664,0.13889305613366595,0.6102765050529211,2.628758817850688,2.208272935340622,1.4677022328843168,0.25695793913092635,22801.981638724283,4
